workerID,gender,age,income,language,condition,order,pesonA,personB,food,totalQuant,eatenQuant,preciseEatenQuant,quantifier,affect
6,M,35,6,english,ironic,1,Rebecca,Zack,blueberries,100,0,3,all,rebecca is mad zack ate all the blueberries 
6,M,35,6,english,hyperbolic,2,Diana,Kathy,M&M's,10,9,9,all,diana is mad kathy ate all of the m&ms
6,M,35,6,english,literal-some,3,Jane,Victor,bananas,100,10,100,some,jane doesn't mind that victor ate some bananas 
6,M,35,6,english,hyperbolic,4,Oliver,Mary,bananas,100,7,77,all,oliver is mad mary ate all the bananas
6,M,35,6,english,true-all,5,Robert,Winston,strawberries,100,10,100,all,robert is mad winston ate all the strawberries
6,M,35,6,english,true-some,6,Heather,Lena,pies,100,3,38,some,heather doesn't mind that lena ate some of the pies
6,M,35,6,english,hyperbolic,7,Grace,Victoria,bananas,100,8,84,all,grave is mad victoria ate all the bananas
7,M,25,8,English,true-all,1,Barbara,Rebecca,blueberries,10,10,10,all,Barbara is upset that Rebecca ate all of the blueberries Barbara brought to the party.
7,M,25,8,English,hyperbolic,2,Edward,Patrick,cookies,100,7,76,all,Edward is annoyed that Patrick ate most of the cookies brought to the party.
7,M,25,8,English,literal-some,3,Matt,Diana,pies,100,10,100,some,Matt is angry that Diana ate all of the pies he brought to the party.
7,M,25,8,English,ironic,4,Ann,Albert,strawberries,100,0,8,all,Ann is incorrectly angry that Albert ate all of the strawberries; he only ate a small amount of them.
7,M,25,8,English,hyperbolic,5,Oliver,Wendy,cookies,100,8,86,all,Oliver is upset that Wendy ate most of the cookies he brought to the party.
7,M,25,8,English,true-some,6,Heather,Iris,blueberries,100,3,36,some,Heather is annoyed that Iris ate all of the blueberries  even though she didn't.
7,M,25,8,English,hyperbolic,7,Winston,Nancy,bananas,100,9,99,all,Winston is upset that Nancy ate all of the bananas  except for one.
8,M,25,6,english,true-all,1,Zack,David,M&M's,100,10,100,all,Annoyed
8,M,25,6,english,hyperbolic,2,Albert,Barbara,blueberries,100,7,74,all,surprised
8,M,25,6,english,true-some,3,Olga,Larry,pies,10,3,3,some,Irked
8,M,25,6,english,literal-some,4,Wendy,Victor,bananas,10,10,10,some,Mad
8,M,25,6,english,ironic,5,Kathy,Cathy,blueberries,100,0,7,all,Unphased
8,M,25,6,english,hyperbolic,6,Kevin,Robert,cookies,10,9,9,all,pissed
8,M,25,6,english,hyperbolic,7,Calvin,Victoria,strawberries,100,8,82,all,upset
9,M,45,4,English,hyperbolic,1,Matt,Yvonne,strawberries,10,9,9,all,Matt feels displeased.
9,M,45,4,English,ironic,2,Zack,Mary,strawberries,100,0,5,all,Zack feels upset.
9,M,45,4,English,true-some,3,Albert,Steven,M&M's,10,3,3,some,Albert feels surprised.
