"","workerID","gender","age","income","language","order","personA","personB","food","totalQuant","eatenQuant","affect","probAffect","subjectMeans","subectSDs","zscore","probit"
"131",12,"M",35,4,"English",10,"Edward","Zack","M&M's","10","0","upset",0,0.420454545454545,0.327129549371318,-1.28528451881703,0.0993464390024734
"132",12,"M",35,4,"English",11,"Grace","Victoria","M&M's","10","3","upset",0,0.420454545454545,0.327129549371318,-1.28528451881703,0.0993464390024734
"133",13,"M",35,6,"english",1,"Iris","Bob","pies","10","4","upset",0.325,0.513068181818182,0.161072769590623,-1.16759761625859,0.121484556092288
"134",13,"M",35,6,"english",2,"Frank","Olga","pies","10","0","upset",0.65,0.513068181818182,0.161072769590623,0.850123944164113,0.802371909666691
"135",13,"M",35,6,"english",3,"David","Wendy","cookies","10","2","upset",0.575,0.513068181818182,0.161072769590623,0.384495891758872,0.649694529880432
"136",13,"M",35,6,"english",4,"Nathan","Jake","M&M's","10","4","upset",0.35,0.513068181818182,0.161072769590623,-1.01238826545685,0.155676223406792
"137",13,"M",35,6,"english",5,"Zack","Edward","M&M's","10","8","upset",0.6,0.513068181818182,0.161072769590623,0.539705242560619,0.705299838025404
"138",13,"M",35,6,"english",6,"Ivan","Stephanie","M&M's","10","9","upset",0.575,0.513068181818182,0.161072769590623,0.384495891758872,0.649694529880432
"139",13,"M",35,6,"english",7,"Cathy","Fiona","M&M's","10","3","upset",0.5,0.513068181818182,0.161072769590623,-0.0811321606463676,0.467668424744084
"140",13,"M",35,6,"english",8,"Kathy","Steven","pies","10","10","upset",0.625,0.513068181818182,0.161072769590623,0.694914593362366,0.756445586698416
"141",13,"M",35,6,"english",9,"Calvin","Ann","cookies","10","3","upset",0.7,0.513068181818182,0.161072769590623,1.16054264576761,0.877086029334964
"142",13,"M",35,6,"english",10,"Mary","Yvonne","pies","10","8","upset",0.575,0.513068181818182,0.161072769590623,0.384495891758872,0.649694529880432
"143",13,"M",35,6,"english",11,"Albert","Robert","pies","10","3","upset",0.5,0.513068181818182,0.161072769590623,-0.0811321606463676,0.467668424744084
"144",14,"M",35,6,"english",1,"Kathy","Patty","M&M's","10","9","upset",0.725,0.425568181818182,0.317397146697164,0.943397952053781,0.827261304848955
"145",14,"M",35,6,"english",2,"Nancy","Cathy","pies","10","0","upset",0.15,0.425568181818182,0.317397146697164,-0.868212536520084,0.192638996246513
"146",14,"M",35,6,"english",3,"Fiona","Kevin","cookies","10","7","upset",0.7,0.425568181818182,0.317397146697164,0.864632278637526,0.806379674974202
"147",14,"M",35,6,"english",4,"Nathan","Jane","M&M's","10","2","upset",0.025,0.425568181818182,0.317397146697164,-1.26204090360136,0.103467034131878
"148",14,"M",35,6,"english",5,"Mary","Olga","M&M's","10","1","upset",0,0.425568181818182,0.317397146697164,-1.34080657701761,0.0899916301359191
"149",14,"M",35,6,"english",6,"Wendy","Steven","M&M's","10","3","upset",0.075,0.425568181818182,0.317397146697164,-1.10450955676885,0.134686080125488
"150",14,"M",35,6,"english",7,"Ann","Calvin","M&M's","10","6","upset",0.575,0.425568181818182,0.317397146697164,0.470803911556251,0.681109614507127
"151",14,"M",35,6,"english",8,"Frank","Heather","cookies","10","10","upset",1,0.425568181818182,0.317397146697164,1.80982035963259,0.964838175215895
"152",14,"M",35,6,"english",9,"Robert","Winston","pies","10","7","upset",0.775,0.425568181818182,0.317397146697164,1.10092929888629,0.864536285370244
"153",14,"M",35,6,"english",10,"Ivan","David","M&M's","10","4","upset",0.575,0.425568181818182,0.317397146697164,0.470803911556251,0.681109614507127
"154",14,"M",35,6,"english",11,"Patrick","Victor","cookies","10","1","upset",0,0.425568181818182,0.317397146697164,-1.34080657701761,0.0899916301359191
"155",15,"F",25,0,"English",1,"Bob","Stephanie","M&M's","10","6","upset",0.85,0.484090909090909,0.314850043167974,1.16216941635887,0.877416672481289
"156",15,"F",25,0,"English",2,"Tom","Jake","M&M's","10","4","upset",0.625,0.484090909090909,0.314850043167974,0.447543501951865,0.67275865714305
"157",15,"F",25,0,"English",3,"Kevin","Lena","pies","10","8","upset",0.9,0.484090909090909,0.314850043167974,1.32097517511599,0.906745179098724
"158",15,"F",25,0,"English",4,"Nathan","Grace","M&M's","10","7","upset",0.85,0.484090909090909,0.314850043167974,1.16216941635887,0.877416672481289
"159",15,"F",25,0,"English",5,"Ivan","Ann","cookies","10","4","upset",0.5,0.484090909090909,0.314850043167974,0.0505291050590815,0.520149621730638
"160",15,"F",25,0,"English",6,"George","Henry","cookies","10","7","upset",0.925,0.484090909090909,0.314850043167974,1.40037805449454,0.919299930928984
"161",15,"F",25,0,"English",7,"Patty","Victor","pies","10","2","upset",0.1,0.484090909090909,0.314850043167974,-1.21991696499782,0.111248176961575
"162",15,"F",25,0,"English",8,"Diana","Cathy","pies","10","3","upset",0.4,0.484090909090909,0.314850043167974,-0.267082412455145,0.394702854354505
"163",15,"F",25,0,"English",9,"Jane","Matt","cookies","10","8","upset",0.825,0.484090909090909,0.314850043167974,1.08276653698032,0.860543968951455
"164",15,"F",25,0,"English",10,"Robert","Steven","M&M's","10","10","upset",0.975,0.484090909090909,0.314850043167974,1.55918381325166,0.940523559576239
"165",15,"F",25,0,"English",11,"Patrick","Nancy","pies","10","10","upset",0.975,0.484090909090909,0.314850043167974,1.55918381325166,0.940523559576239
"166",16,"M",35,4,"English",1,"Diana","Grace","M&M's","10","8","upset",0.425,0.486931818181818,0.124765901298592,-0.496384168568639,0.309811696262871
"167",16,"M",35,4,"English",2,"Edward","Heather","M&M's","10","4","upset",0.4,0.486931818181818,0.124765901298592,-0.696759429275245,0.242976679947625
"168",16,"M",35,4,"English",3,"Jane","Victoria","cookies","10","9","upset",0.425,0.486931818181818,0.124765901298592,-0.496384168568639,0.309811696262871
"169",16,"M",35,4,"English",4,"Ivan","Olga","pies","10","1","upset",0.2,0.486931818181818,0.124765901298592,-2.2997615149281,0.0107308674503527
"170",16,"M",35,4,"English",5,"Yvonne","Victor","M&M's","10","10","upset",0.6,0.486931818181818,0.124765901298592,0.906242656377606,0.817596285123951
"171",16,"M",35,4,"English",6,"Calvin","Tracy","pies","10","10","upset",0.625,0.486931818181818,0.124765901298592,1.10661791708421,0.865770421263357
"172",16,"M",35,4,"English",7,"David","Iris","cookies","10","8","upset",0.575,0.486931818181818,0.124765901298592,0.705867395670999,0.759864697404554
"173",16,"M",35,4,"English",8,"Rebecca","Henry","pies","10","8","upset",0.55,0.486931818181818,0.124765901298592,0.505492134964394,0.693393389408057
"174",16,"M",35,4,"English",9,"Cathy","Lena","M&M's","10","5","upset",0.45,0.486931818181818,0.124765901298592,-0.296008907862032,0.383611639300486
"175",16,"M",35,4,"English",10,"Matt","Stephanie","cookies","10","4","upset",0.375,0.486931818181818,0.124765901298592,-0.897134689981851,0.184823524931422
"176",16,"M",35,4,"English",11,"Kevin","Winston","M&M's","10","6","upset",0.5,0.486931818181818,0.124765901298592,0.104741613551181,0.541709579643302
"177",17,"M",35,0,"english",1,"Henry","Victoria","cookies","10","4","upset",0.025,0.417613636363636,0.221358093123158,-1.77365837780865,0.0380598375442129
"178",17,"M",35,0,"english",2,"Bob","Patty","cookies","10","3","upset",0.025,0.417613636363636,0.221358093123158,-1.77365837780865,0.0380598375442129
"179",17,"M",35,0,"english",3,"Larry","Calvin","pies","10","0","upset",0.025,0.417613636363636,0.221358093123158,-1.77365837780865,0.0380598375442129
"180",17,"M",35,0,"english",4,"Matt","Mary","cookies","10","9","upset",0.15,0.417613636363636,0.221358093123158,-1.20896251222558,0.113338623966781
"181",17,"M",35,0,"english",5,"Nancy","Kathy","cookies","10","6","upset",0.025,0.417613636363636,0.221358093123158,-1.77365837780865,0.0380598375442129
"182",17,"M",35,0,"english",6,"Emma","Winston","pies","10","9","upset",0.5,0.417613636363636,0.221358093123158,0.372185911407026,0.64512278254109
"183",17,"M",35,0,"english",7,"Steven","Robert","cookies","10","10","upset",0.125,0.417613636363636,0.221358093123158,-1.32190168534219,0.0931004455760414
